room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
15785257,1315,1243056,Shared room,,Seattle,,Broadway,0,0.0,1,1.0,,49.0,,2017-06-11 18:05:41.092689,47.617151,-122.323732,0101000020E6100000CC2A6C06B8945EC0CBD8D0CDFECE4740
8156894,1315,1243056,Shared room,,Seattle,,University District,2,0.0,1,1.0,,45.0,,2017-06-11 18:05:41.090477,47.658658,-122.318967,0101000020E6100000356090F469945EC0D89FC4E74ED44740
8156860,1315,1243056,Shared room,,Seattle,,University District,4,4.5,1,1.0,,45.0,,2017-06-11 18:05:41.087272,47.656971,-122.318918,0101000020E6100000C4060B2769945EC0D0B52FA017D44740
9255275,1315,1243056,Shared room,,Seattle,,Wallingford,4,5.0,1,1.0,,45.0,,2017-06-11 18:05:41.083334,47.651391,-122.332348,0101000020E610000006B98B3045955EC051F4C0C760D34740
3403638,1315,1243056,Shared room,,Seattle,,Wallingford,10,4.5,1,1.0,,45.0,,2017-06-11 18:05:41.080738,47.650942,-122.332589,0101000020E610000099805F2349955EC0E2CB441152D34740
10906361,1315,1243056,Shared room,,Seattle,,University District,4,4.5,1,1.0,,50.0,,2017-06-11 18:05:41.077814,47.658542,-122.318009,0101000020E61000005BB56B425A945EC06E85B01A4BD44740
3889050,1315,1243056,Shared room,,Seattle,,Wallingford,5,4.5,1,1.0,,45.0,,2017-06-11 18:05:41.071803,47.651582,-122.330797,0101000020E61000005B272EC72B955EC0C554FA0967D34740
3404557,1315,1243056,Shared room,,Seattle,,Wallingford,9,5.0,1,1.0,,45.0,,2017-06-11 18:05:41.068134,47.650914,-122.330957,0101000020E610000077D844662E955EC01841632651D34740
3732103,1315,1243056,Shared room,,Seattle,,Wallingford,9,5.0,1,1.0,,45.0,,2017-06-11 18:05:41.064915,47.650211,-122.332035,0101000020E61000002788BA0F40955EC0EE3F321D3AD34740
14918493,1315,1243056,Shared room,,Seattle,,Broadway,1,0.0,1,1.0,,60.0,,2017-06-11 18:05:41.060018,47.616955,-122.322862,0101000020E6100000C1C760C5A9945EC0450DA661F8CE4740
